lat	lon
60.146423	24.992447
60.149269	24.98389
60.167248	24.955786
60.167161	24.979922
60.4488496347	21.6977549317
60.3724642756	21.3493045002
60.1697266631	21.8788444639
60.3128248109	22.9439539048
60.4674190365	21.6938079179
60.2225206005	22.0979547476
60.5425903734	21.3362035151
60.4550533523	21.6365762939
60.2168030164	21.4031190442
60.2168965419	22.3038814779
59.9210300634	22.4122256937
60.2450111151	25.9025843259
62.3830611679	21.2195801727
59.9758798886	23.8799115283
59.9306418753	23.5074651382
64.3440114895	26.9112003911
63.2774027713	29.31744252
66.5787411706	27.9226453285
62.905751279	27.836371962
62.1495777788	28.9721125046
62.7204100484	27.7640522356
61.8201712198	28.7276970054
61.5542959057	27.8457633414
62.3942113263	29.5712215851
61.4519740443	28.1673502322
61.7383918564	28.497736766
61.0965474621	28.3235756651
62.2036540165	28.4662426048
59.7865148075	21.3681720361
60.1941244594	21.9118937594
60.1480145232	22.1369610228
61.3259529717	28.3426384963
60.1670758308	21.8802489167
61.551642868	28.586483586
61.604278504	28.3854238695
59.9270772807	23.5111905063
60.3815488123	21.3712879136
60.2153002663	22.3065509956
60.4612174655	21.6483072178
60.5409557363	21.3192296378
60.2174389557	21.3957615899
60.3180919992	22.9434213602
60.4678779629	21.675684938
59.8727049409	22.4489303118
59.9772019483	23.8763024579
61.0963200412	28.3166988394
61.330018331	28.3421752767
62.1480806214	28.973944087
59.9491288921	22.3952306228
60.1854992756	21.5857909597
63.278332436	29.3256332363
60.2165290229	21.558698041
59.9546268517	22.3692049171
65.0089452033	25.1962288047
60.4614834904	26.9645880597
60.4409474081	27.0088354022
60.2860075713	27.1864048519
60.404726506	27.0141511445
60.3446014382	26.7764662136
60.164658003	25.424067903
60.1808281807	25.4411655465
62.943923943	21.177114932
62.9345325279	21.1868728905
61.8138028297	28.7285030053
62.2007714133	28.4664971275
61.7382028287	28.5032050912
62.3830495938	21.2159599785
61.5515219473	28.5797869541
66.5802673946	27.9145080397
61.6090813551	28.3861030484
61.554855163	27.8497901265
62.7223475666	27.755784209
61.4529346099	28.1708362588
62.9056066242	27.8400668639
64.3407788293	26.8982449465
62.3905758774	29.5666584934
60.2465199569	25.8990606281
65.0374795465	25.0679665398
60.161528	24.91165
60.166847	24.953576
60.140197	24.916212
60.15521	24.9503
60.153606	24.952248
60.162773	25.028461
60.159603	25.091739
60.151857	24.947067
60.15301	24.946512
60.154522	24.946372
60.140344	25.006997
60.230834	22.073024
61.243704	28.599061
61.248426	28.610516
60.177732	24.954964
60.1551908236559	24.7709117312781
60.1670541143016	24.9548262919752
60.174952	24.979329
60.185695	24.838728
60.107143	24.674558
60.156648	24.621322
60.1482944858266	24.7553570828167
60.137037	24.643861
60.145733	24.720015
60.128059	24.696276
60.0888266579426	24.6655085879607
60.085686	24.682748
60.135081	24.648134
60.143126	24.761862
60.105793	25.062375
60.1849221070348	25.0324437586787
60.094362	24.748759
60.167121	24.955411
60.1791648957009	25.0673602217387
60.180172	25.068688
60.174602	25.11855
60.171138	25.152635
60.199743	25.146652
60.1816236048071	25.1292224103159
60.179262	25.118749
60.154981995038	24.9903145540685
60.145117	24.987642
60.177732	24.954964
60.1524298134269	25.0159403366236
60.167408	24.95325
60.173671	25.345412
60.139956	24.989867
60.15962	24.963852
60.153577	24.941933
60.199305	25.140902
60.159533	24.961358
60.161179	24.963112
60.1519844812255	24.9410772693149
60.159796	24.961103
61.7047641723	25.3694282963
61.7099260596	25.3896774669
60.1509843715	22.282161389
60.1504573035	22.2854583042
61.2226087665	28.1187122909
61.2259894861	28.1289312841
61.747806513	28.613529833
61.7430010551	28.5988770213
61.8087091035	28.8279553227
61.8295888573	28.8339058892
60.204383	21.968148
60.198998	21.96964
60.179994	22.064178
60.181128	22.068775
60.038432	22.923144
60.041371	22.914567
60.2982253603	21.5787185571
59.907921478	22.3667157807
60.0190809782	22.5062013671
59.9282607808	22.183475723
59.970197683	22.608835243
59.9710965495	22.5597012904
59.8680529921	22.1966947973
60.3971885752	21.3901025261
60.252764544	25.391655202
60.186813	21.438494
60.233414	21.334612
60.457006	22.268116
60.2356	22.112741
60.2225	22.09791
60.192696	21.909252
60.165932	21.69128
60.185459	21.585506
60.1965199948	22.2616246199
60.235104	21.335678
60.285774	21.968849
60.313774	21.961533
60.23642	21.955162
60.268883	21.40597
60.381573	21.371466
60.411625	21.369955
60.485214	21.435049
60.265533	21.405907
60.288834	21.439211
60.406006	21.368523
60.316238	21.963299
60.163769	21.704924
60.439201	21.396416
60.499218	21.613609
60.467415	21.693819
60.374666	25.059641
60.379172	25.050071
60.384569	25.03016
60.375091	25.058667
60.38435	25.029774
60.38453	25.03546
60.381626	25.043251
60.386727	25.025077
60.382115	25.042133
60.385848	25.025451
60.385262	25.033932
60.378112	25.052368
